Date,Advancers,Decliners,Neutral
1998-12-28,378,410,96
1998-12-29,463,316,105
1998-12-30,406,378,100
1998-12-31,584,209,91
1999-01-04,432,377,75
1999-01-05,438,345,101
1999-01-06,529,260,95
1999-01-07,267,525,92
1999-01-08,407,390,87
1999-01-11,270,531,83
1999-01-12,228,565,91
1999-01-13,251,560,73
1999-01-14,214,579,92
1999-01-15,607,191,87
1999-01-19,358,439,88
1999-01-20,377,421,87
1999-01-21,271,523,91
1999-01-22,284,502,99
1999-01-25,397,387,101
1999-01-26,397,384,104
1999-01-27,255,538,92
1999-01-28,444,337,105
1999-01-29,459,329,98
1999-02-01,353,425,109
1999-02-02,288,495,104
1999-02-03,458,336,93
1999-02-04,274,500,113
1999-02-05,327,460,101
1999-02-08,363,417,108
1999-02-09,209,580,99
1999-02-10,286,503,99
1999-02-11,469,298,121
1999-02-12,181,596,112
1999-02-16,424,366,99
1999-02-17,226,550,113
1999-02-18,446,335,108
1999-02-19,381,380,128
1999-02-22,537,253,99
1999-02-23,318,452,119
1999-02-24,287,494,108
1999-02-25,275,508,106
1999-02-26,371,398,120
1999-03-01,388,385,116
1999-03-02,383,385,121
1999-03-03,321,454,114
1999-03-04,495,287,107
1999-03-05,573,208,108
1999-03-08,367,418,104
1999-03-09,318,455,116
1999-03-10,425,354,111
1999-03-11,469,326,96
1999-03-12,330,446,116
1999-03-15,409,373,110
1999-03-16,328,440,124
1999-03-17,340,425,127
1999-03-18,420,338,134
1999-03-19,280,500,112
1999-03-22,284,486,122
1999-03-23,125,652,115
